SP ID	Academies
1669	Academy of Lyon
1681	Royal Society
1681	RoyalSociety_Edinburgh
1681	Royal Society
1687	Royal Society of London
1707	French Academy
1707	Académie des sciences
1709	French Academy
1709	Academy of Inscriptions
1709	Académie des sciences
1724	Académie des sciences
1732	Académie des sciences
1733	Academy of Rouen
1753	Académie des sciences
1760	Académie des sciences
1760	Royal Swedish Academy of Sciences
1763	Académie Delphinale
1764	Royal Society
1764	Académie de Stanislas
1765	French Academy
1766	Société d'agriculture
1766	des sciences et des arts de la Haute-Vienne
1767	Royal Society
1776	Académie des sciences
1776	Royal Society
1776	Berlin Academy
1776	Royal Swedish Academy of Sciences
1776	St Petersburg Academy
1776	Bureau des longitudes
1779	Academy of Inscriptions
