SP ID	Social Network
1439	Nobility
1440	Nobility
1441	Nobility
1442	Nobility
1442	Elite
1442	Military
1442	Government
1443	Nobility
1443	Elite
1443	Military
1444	Nobility
1444	Elite
1444	Court
1444	Government
1445	Nobility
1445	Government
1445	Elite
1446	Elite
1447	Elite
1447	Government
1449	Government
1449	Nobility
1449	Elite
1450	Nobility
1450	Military
1450	Elite
1450	Government
1452	Nobility
1452	Elite
1453	Nobility
1453	Elite
1454	Elite
1454	Nobility
1455	Nobility
1455	Elite
1456	Nobility
1456	Elite
1456	Court
1457	Government
1458	Government
1460	Government
1460	Elite
1460	Nobility
1462	Elite
1462	Government
1463	Elite
1464	Nobility
1464	Elite
1466	Nobility
1466	Elite
1466	Court
1468	Elite
1468	Government
1469	Government
1470	Nobility
1470	Elite
1470	Court
1471	Nobility
1471	Elite
1471	Court
1472	Elite
1472	Nobility
1473	Elite
1474	Government
1475	Court
1476	Government
1476	Elite
1478	Nobility
1478	Military
1478	Government
1479	Military
1479	Government
1479	Nobility
1480	Nobility
1480	Elite
1481	Government
1481	Court
1481	Elite
1481	Military
1481	Nobility
1482	Court
1482	Elite
1483	Nobility
1483	Elite
1483	Government
1483	Military
1484	Elite
1484	Government
1484	Nobility
1487	Nobility
1487	Elite
1487	Court
1488	Nobility
1488	Elite
1489	Elite
1489	Government
1489	Nobility
1497	Elite
1497	Government
1497	Nobility
1498	Nobility
1498	Elite
1499	Nobility
1499	Elite
1500	Nobility
1500	Elite
1501	Nobility
1501	Elite
1502	Nobility
1502	Elite
1502	Court
1503	Nobility
1503	Elite
1504	Nobility
1504	Elite
1505	Nobility
1505	Elite
1506	Nobility
1506	Elite
1507	Nobility
1507	Elite
1508	Nobility
1508	Elite
1509	Nobility
1509	Elite
1510	Nobility
1510	Elite
1511	Nobility
1511	Military
1511	Government
1512	Nobility
1512	Elite
1512	Government
1514	Nobility
1514	Elite
1515	Nobility
1515	Elite
1515	Court
1516	Nobility
1517	Nobility
1517	Elite
1518	Nobility
1518	Elite
1519	Nobility
1519	Elite
1520	Nobility
1520	Government
1520	Elite
1522	Nobility
1522	Elite
1523	Elite
1524	Nobility
1524	Elite
1525	Nobility
1525	Elite
1526	Nobility
1526	Elite
1527	Nobility
1527	Elite
1528	Nobility
1528	Elite
1529	Nobility
1529	Elite
1530	Nobility
1530	Elite
1531	Nobility
1531	Elite
1532	Elite
1533	Nobility
1533	Elite
1534	Nobility
1534	Elite
1535	Nobility
1535	Elite
1536	Nobility
1536	Elite
1537	Nobility
1537	Elite
1538	Nobility
1538	Elite
1539	Nobility
1539	Elite
1540	Nobility
1540	Elite
1541	Nobility
1541	Elite
1543	Nobility
1543	Elite
1544	Nobility
1544	Elite
1545	Nobility
1545	Elite
1546	Elite
1547	Elite
1548	Nobility
1548	Elite
1549	Elite
1550	Elite
1551	Nobility
1551	Elite
1552	Elite
1554	Elite
1555	Elite
1555	Nobility
1556	Elite
1557	Elite
1558	Elite
1559	Nobility
1559	Elite
1560	Elite
1561	Elite
1562	Elite
1564	Nobility
1564	Elite
1565	Nobility
1565	Elite
1566	Nobility
1566	Elite
1567	Nobility
1567	Elite
1568	Elite
1569	Nobility
1569	Elite
1570	Nobility
1570	Elite
1572	Elite
1572	Court
1573	Elite
1574	Elite
1575	Elite
1575	Nobility
1575	Government
1576	Government
1577	Nobility
1577	Elite
1577	Court
1578	Military
1578	Nobility
1581	Nobility
1582	Nobility
1582	Government
1583	Nobility
1583	Elite
1583	Government
1585	Military
1587	Nobility
1588	Nobility
1588	Military
1588	Government
1588	Elite
1588	Court
1589	Nobility
1589	Military
1589	Government
1589	Elite
1590	Government
1591	Military
1591	Elite
1591	Nobility
1592	Nobility
1592	Elite
1593	Military
1593	Elite
1593	Court
1593	Nobility
1594	Government
1596	Nobility
