SP ID	EgoNetworksCombined
1306	Graffigny
1307	Graffigny
1308	Graffigny
1309	Graffigny
1310	Graffigny
1311	Graffigny
1312	Graffigny
1313	Graffigny
1314	Graffigny
1315	Graffigny
1316	Graffigny
1317	Graffigny
1318	Graffigny
1319	Graffigny
1320	Graffigny
1321	Graffigny
1321	Necker
1322	Graffigny
1323	Graffigny
1324	Graffigny
1325	Graffigny
1326	Graffigny
1327	Graffigny
1328	Graffigny
1329	Graffigny
1330	Graffigny
1331	Graffigny
1332	Graffigny
1333	Graffigny
1334	Graffigny
1335	Graffigny
1336	Graffigny
1336	Deffand
1337	Graffigny
1338	Graffigny
1339	Graffigny
1340	Graffigny
1341	Graffigny
1342	Graffigny
1343	Graffigny
1343	Chatelet
1344	Voltaire
1344	Graffigny
1344	Arnould
1345	Voltaire
1345	D'Alembert
1345	Graffigny
1345	Arnould
1345	Geoffrin
1345	Tencin
1345	Entresol
1345	Helvetius
1345	Holbach
1345	Lespinasse
1346	Voltaire
1346	Deffand
1346	Graffigny
1346	Arnould
1346	Lespinasse
1346	Necker
1346	Deffand
1347	Rousseau
1347	Hume
1347	ASmith
1347	Graffigny
1347	Boufflers
1347	Lespinasse
1347	Deffand
1348	Voltaire
1348	Graffigny
1348	Entresol
1349	Voltaire
1349	D'Alembert
1349	Graffigny
1349	Entresol
1350	Voltaire
1350	Rousseau
1350	Encyclopedistes
1350	Graffigny
1350	Holbach
1350	Houdetot
1350	Epinay
1350	Quinault
1350	Geoffrin
1350	Lespinasse
1351	Voltaire
1351	D'Alembert
1351	Hume
1351	Graffigny
1351	Lespinasse
1351	Entresol
1351	Geoffrin
1352	Voltaire
1352	D'Alembert
1352	Graffigny
1352	Quinault
1353	Voltaire
1353	Graffigny
1353	Quinault
1354	Voltaire
1354	Graffigny
1354	Quinault
1355	Voltaire
1355	Graffigny
1355	Quinault
1356	Voltaire
1356	D'Alembert
1356	Graffigny
1356	Tencin
1357	Voltaire
1357	Hume
1357	Holbach
1358	Voltaire
1358	Encyclopedistes
1358	Holbach
1359	Voltaire
1359	Rousseau
1359	Encyclopedistes
1359	Deffand
1359	Holbach
1359	Boufflers
1359	Graffigny
1359	Necker
1360	D'Alembert
1360	Holbach
1360	Epinay
1360	Lespinasse
1361	Voltaire
1361	Rousseau
1361	Holbach
1361	Geoffrin
1361	Helvetius
1361	Epinay
1362	Voltaire
1362	D'Alembert
1362	Bentham
1362	Holbach
1362	Geoffrin
1362	Lespinasse
1362	Necker
1362	Deffand
1363	Mericourt
1364	Lambert
1365	Lambert
1365	Tencin
1365	Deffand
1366	Lambert
1367	Lambert
1368	Lambert
1369	Lambert
1370	Lambert
1371	Lambert
1372	Lambert
1373	Lambert
1374	Lambert
1375	Lambert
1376	Lambert
1377	Lambert
1378	Lambert
1379	Lambert
1380	Lambert
1381	Lambert
1382	Lambert
1383	Lambert
1384	Lambert
1385	Lambert
1386	Lambert
1387	Lambert
1388	Lambert
1389	Lambert
1390	Lambert
1391	Lambert
